Associated Gene Name	Human Ensembl Gene ID	Human Chromosome Name	Human Gene Start (bp)	Human Gene End (bp)	Anole Ensembl Gene ID	Anole Chromosome Name	Anole Chromosome Start (bp)	Anole Chromosome End (bp)	Homology Type
RLTPR	ENSG00000159753	16	67678822	67691472	ENSACAG00000001164	GL343295.1	871622	947995	ortholog_one2one
PARD6A	ENSG00000102981	16	67694849	67696681	ENSACAG00000001298	GL343295.1	805868	816267	ortholog_one2one
ENKD1	ENSG00000124074	16	67696848	67701168	ENSACAG00000001332	GL343295.1	792613	801049	ortholog_one2one
GFOD2	ENSG00000141098	16	67708434	67753324	ENSACAG00000001358	GL343295.1	766661	774581	ortholog_one2one
RANBP10	ENSG00000141084	16	67757005	67840555	ENSACAG00000001369	GL343295.1	711685	758501	ortholog_one2one
TSNAXIP1	ENSG00000102904	16	67840668	67866051	ENSACAG00000001464	GL343295.1	692209	699057	ortholog_one2one
CENPT	ENSG00000102901	16	67862060	67881714	ENSACAG00000001517	GL343295.1	682555	683450	ortholog_one2one
THAP11	ENSG00000168286	16	67876213	67878097	ENSACAG00000001520	GL343295.1	663769	669360	ortholog_one2one
NUTF2	ENSG00000102898	16	67880635	67906470	ENSACAG00000028758	GL343295.1	609635	626317	ortholog_one2one
EDC4	ENSG00000038358	16	67906926	67918406	ENSACAG00000001561	GL343295.1	559300	606145	ortholog_one2one
NRN1L	ENSG00000188038	16	67918708	67922758	ENSACAG00000023632	GL343295.1	531351	536517	ortholog_one2one
PSKH1	ENSG00000159792	16	67927175	67963581	ENSACAG00000001729	GL343295.1	499113	515390	ortholog_one2one
CTRL	ENSG00000141086	16	67961543	67966317	ENSACAG00000001737	GL343295.1	474128	489379	ortholog_one2one
LCAT	ENSG00000213398	16	67973653	67978034	ENSACAG00000010486	GL344674.1	46	10798	ortholog_one2one
SLC12A4	ENSG00000124067	16	67977377	68003504	ENSACAG00000009446	LGc	6102465	6188435	ortholog_one2one
DUS2L	ENSG00000167264	16	68021649	68113223	ENSACAG00000009757	LGc	6243383	6261283	ortholog_one2one
DDX28	ENSG00000182810	16	68055179	68057770	ENSACAG00000009755	LGc	6238828	6240441	ortholog_one2one
NFATC3	ENSG00000072736	16	68118654	68263162	ENSACAG00000009839	LGc	6294915	6334390	ortholog_one2one
ESRP2	ENSG00000103067	16	68263014	68272005	ENSACAG00000009900	LGc	6350352	6414271	ortholog_one2one
PLA2G15	ENSG00000103066	16	68279207	68294961	ENSACAG00000009961	LGc	6464056	6508624	ortholog_one2one
SLC7A6	ENSG00000103064	16	68298433	68335722	ENSACAG00000010249	LGc	6804695	6826105	ortholog_one2one
SLC7A6OS	ENSG00000103061	16	68318406	68344849	ENSACAG00000010238	LGc	6791359	6798329	ortholog_one2one
PRMT7	ENSG00000132600	16	68344877	68392466	ENSACAG00000010119	LGc	6753811	6790261	ortholog_one2one
SMPD3	ENSG00000103056	16	68392231	68482591	ENSACAG00000010068	LGc	6589998	6738205	ortholog_one2one
CDH1	ENSG00000039068	16	68771128	68869445	ENSACAG00000002779	GL343914.1	89036	111233	ortholog_one2one
TANGO6	ENSG00000103047	16	68877507	69119083	ENSACAG00000003075	GL343914.1	32899	83736	apparent_ortholog_one2one
HAS3	ENSG00000103044	16	69139467	69152622	ENSACAG00000003117	GL343914.1	11079	25126	ortholog_one2one
CHTF8	ENSG00000168802	16	69151913	69166487	ENSACAG00000003148	GL343914.1	9921	11890	ortholog_one2one
CIRH1A	ENSG00000141076	16	69165194	69202941	ENSACAG00000003151	GL343914.1	23	9710	ortholog_one2one
SNTB2	ENSG00000168807	16	69221032	69342955	ENSACAG00000003209	GL343643.1	1174	17884	ortholog_one2one
PDF	ENSG00000258429	16	69362524	69364498	ENSACAG00000003436	GL343643.1	32383	33870	ortholog_one2one
NIP7	ENSG00000132603	16	69373333	69377014	ENSACAG00000003476	GL343643.1	46358	49390	ortholog_one2one
TERF2	ENSG00000132604	16	69389464	69442474	ENSACAG00000003497	GL343643.1	55815	67414	ortholog_one2one
CYB5B	ENSG00000103018	16	69458428	69500169	ENSACAG00000003522	GL343643.1	82996	97930	ortholog_one2one
NFAT5	ENSG00000102908	16	69598997	69738569	ENSACAG00000003530	GL343643.1	123922	145470	ortholog_one2one
NQO1	ENSG00000181019	16	69740899	69760854	ENSACAG00000003660	GL343643.1	151524	157155	ortholog_one2one
NOB1	ENSG00000141101	16	69775770	69788843	ENSACAG00000003697	GL343643.1	158729	173007	ortholog_one2one
WWP2	ENSG00000198373	16	69796209	69975644	ENSACAG00000003738	GL343643.1	172190	214414	ortholog_one2one
PDPR	ENSG00000090857	16	70147529	70195203	ENSACAG00000010473	GL343891.1	55297	85193	ortholog_one2one
AARS	ENSG00000090861	16	70286198	70323446	ENSACAG00000002808	GL343295.1	1249047	1272619	ortholog_one2one
ST3GAL2	ENSG00000157350	16	70413338	70473140	ENSACAG00000002447	GL343539.1	323	8855	ortholog_one2one
FUK	ENSG00000157353	16	70488324	70514177	ENSACAG00000002266	GL343539.1	29003	64242	ortholog_one2one
COG4	ENSG00000103051	16	70514471	70557468	ENSACAG00000001978	GL343539.1	63558	80106	ortholog_one2one
SF3B3	ENSG00000189091	16	70557691	70608820	ENSACAG00000001817	GL343539.1	79562	108340	ortholog_one2one
MTSS1L	ENSG00000132613	16	70695107	70719969	ENSACAG00000001650	GL343539.1	113158	153472	ortholog_one2one
VAC14	ENSG00000103043	16	70721342	70835064	ENSACAG00000001438	GL343539.1	165078	227497	ortholog_one2one
FTSJD1	ENSG00000180917	16	71315292	71323618	ENSACAG00000014593	3	196172277	196180032	ortholog_one2one
CHST4	ENSG00000140835	16	71559136	71572649	ENSACAG00000007709	GL343483.1	281789	282967	ortholog_one2one
TAT	ENSG00000198650	16	71599563	71611033	ENSACAG00000007712	GL343483.1	284967	291626	ortholog_one2one
MARVELD3	ENSG00000140832	16	71660064	71676017	ENSACAG00000012011	GL343265.1	92595	116759	ortholog_one2one
AP1G1	ENSG00000166747	16	71762913	71843104	ENSACAG00000007802	GL343483.1	301317	310631	ortholog_one2one
ATXN1L	ENSG00000224470	16	71879894	71891231	ENSACAG00000023660	GL343483.1	318434	320315	ortholog_one2one
ZNF821	ENSG00000102984	16	71893583	71929239	ENSACAG00000007999	GL343483.1	323196	328534	ortholog_one2one
DHODH	ENSG00000102967	16	72042487	72058954	ENSACAG00000008085	GL343483.1	366412	370631	ortholog_one2one
TXNL4B	ENSG00000140830	16	72078188	72128330	ENSACAG00000011887	AAWZ02038071	8677	9498	ortholog_one2one
DHX38	ENSG00000140829	16	72127461	72146811	ENSACAG00000008115	GL343483.1	371307	394056	ortholog_one2one
PMFBP1	ENSG00000118557	16	72146056	72210777	ENSACAG00000022617	GL343483.1	386963	421524	ortholog_one2one
ZFHX3	ENSG00000140836	16	72816784	73093597	ENSACAG00000008238	GL343483.1	436139	486325	ortholog_one2one
PSMD7	ENSG00000103035	16	74330673	74340186	ENSACAG00000003862	GL343643.1	217269	221948	ortholog_one2one
GLG1	ENSG00000090863	16	74485856	74641012	ENSACAG00000010559	GL343891.1	91820	124423	ortholog_one2one
RFWD3	ENSG00000168411	16	74655292	74700779	ENSACAG00000006627	GL343840.1	181946	197256	ortholog_one2one
MLKL	ENSG00000168404	16	74705753	74734858	ENSACAG00000006649	GL343840.1	169943	181785	ortholog_one2one
FA2H	ENSG00000103089	16	74746853	74808729	ENSACAG00000006659	GL343840.1	101129	159668	ortholog_one2one
WDR59	ENSG00000103091	16	74907468	75034071	ENSACAG00000006681	GL343840.1	56515	93741	ortholog_one2one
ZNRF1	ENSG00000186187	16	75032928	75144892	ENSACAG00000006754	GL343840.1	33966	34854	ortholog_one2one
LDHD	ENSG00000166816	16	75145758	75150669	ENSACAG00000006757	GL343840.1	11402	14718	ortholog_one2one
ZFP1	ENSG00000184517	16	75182390	75206134	ENSACAG00000023064	GL343434.1	139048	144986	ortholog_one2one
CFDP1	ENSG00000153774	16	75327596	75467383	ENSACAG00000007575	GL343751.1	23468	42334	ortholog_one2one
GABARAPL2	ENSG00000034713	16	75600249	75611779	ENSACAG00000007547	GL343483.1	254701	260172	ortholog_one2one
ADAT1	ENSG00000065457	16	75630879	75657198	ENSACAG00000007555	GL343483.1	262354	266866	ortholog_one2one
KARS	ENSG00000065427	16	75661622	75682541	ENSACAG00000007577	AAWZ02038681	584	9956	ortholog_one2one
TERF2IP	ENSG00000166848	16	75681684	75795051	ENSACAG00000007708	GL343483.1	278387	279430	ortholog_one2one
MON1B	ENSG00000103111	16	77224732	77236302	ENSACAG00000006058	2	69091083	69114383	ortholog_one2one
NUDT7	ENSG00000140876	16	77756411	77776157	ENSACAG00000002387	GL343446.1	8521	12429	ortholog_one2one
VAT1L	ENSG00000171724	16	77822427	78014004	ENSACAG00000010358	GL343446.1	43899	63903	ortholog_one2one
CLEC3A	ENSG00000166509	16	78056412	78100658	ENSACAG00000010347	GL343446.1	77470	88184	ortholog_one2one
WWOX	ENSG00000186153	16	78133310	79246564	ENSACAG00000010283	GL343446.1	108385	271765	ortholog_one2one
MAF	ENSG00000178573	16	79619740	79634611	ENSACAG00000022476	LGc	4894704	4938839	ortholog_one2one
DYNLRB2	ENSG00000168589	16	80574631	80584657	ENSACAG00000008780	LGc	5521569	5529762	ortholog_one2one
CDYL2	ENSG00000166446	16	80637609	80838226	ENSACAG00000008783	LGc	5594613	5645096	ortholog_one2one
CMC2	ENSG00000103121	16	81009698	81053875	ENSACAG00000008855	LGc	5660948	5663403	ortholog_one2one
CENPN	ENSG00000166451	16	81040103	81066719	ENSACAG00000008859	LGc	5665462	5677898	ortholog_one2one
ATMIN	ENSG00000166454	16	81069452	81080963	ENSACAG00000008885	LGc	5681509	5687968	ortholog_one2one
GCSH	ENSG00000140905	16	81115566	81130008	ENSACAG00000008905	LGc	5730228	5742580	ortholog_one2one
PKD1L2	ENSG00000269323	16	81204345	81253975	ENSACAG00000008955	LGc	5744709	5791782	ortholog_one2one
BCMO1	ENSG00000135697	16	81272053	81324747	ENSACAG00000009055	LGc	5809537	5835833	ortholog_one2one
GAN	ENSG00000127688	16	81348557	81413940	ENSACAG00000009119	LGc	5843841	5869432	ortholog_one2one
CMIP	ENSG00000153815	16	81478775	81745367	ENSACAG00000009149	LGc	6002761	6037675	ortholog_one2one
PLCG2	ENSG00000197943	16	81772702	81991899	ENSACAG00000009200	LGc	6047640	6104245	ortholog_one2one
SDR42E1	ENSG00000184860	16	82031221	82045093	ENSACAG00000002548	GL344902.1	5772	7020	ortholog_one2one
HSD17B2	ENSG00000086696	16	82068609	82132139	ENSACAG00000011496	GL344611.1	17569	19906	ortholog_one2one
MPHOSPH6	ENSG00000135698	16	82181403	82203831	ENSACAG00000011450	GL343663.1	16846	24313	ortholog_one2one
HSBP1	ENSG00000230989	16	83841448	83853342	ENSACAG00000008065	GL343849.1	126730	129488	ortholog_one2one
OSGIN1	ENSG00000140961	16	83981887	83999937	ENSACAG00000010470	LGc	6922942	6936247	ortholog_one2one
NECAB2	ENSG00000103154	16	84002237	84036381	ENSACAG00000000883	LGc	6949793	7121366	ortholog_one2one
SLC38A8	ENSG00000166558	16	84043272	84076241	ENSACAG00000012839	5	108324051	108333514	ortholog_one2one
MBTPS1	ENSG00000140943	16	84087368	84150511	ENSACAG00000012864	5	108365266	108402524	ortholog_one2one
HSDL1	ENSG00000103160	16	84155886	84178797	ENSACAG00000013038	5	108404485	108415304	ortholog_one2one
DNAAF1	ENSG00000154099	16	84178865	84212373	ENSACAG00000013066	5	108426984	108438036	ortholog_one2one
ADAD2	ENSG00000140955	16	84224744	84230774	ENSACAG00000000939	GL343635.1	201004	212202	ortholog_one2one
KCNG4	ENSG00000168418	16	84255823	84273356	ENSACAG00000008052	GL343849.1	96540	116852	ortholog_one2one
WFDC1	ENSG00000103175	16	84328252	84363450	ENSACAG00000008044	GL343849.1	68594	75410	ortholog_one2one
ATP2C2	ENSG00000064270	16	84402133	84497793	ENSACAG00000007742	GL343849.1	33781	59617	ortholog_one2one
KIAA1609	ENSG00000140950	16	84511681	84587639	ENSACAG00000007729	GL343849.1	19683	36734	ortholog_one2one
COTL1	ENSG00000103187	16	84599200	84651683	ENSACAG00000007722	GL343849.1	5810	7450	ortholog_one2one
CRISPLD2	ENSG00000103196	16	84853590	84954374	ENSACAG00000014410	GL343617.1	309783	334245	ortholog_one2one
ZDHHC7	ENSG00000153786	16	85007787	85045141	ENSACAG00000014340	GL343617.1	228172	242456	ortholog_one2one
KIAA0513	ENSG00000135709	16	85061375	85127836	ENSACAG00000014535	GL343957.1	648	20713	ortholog_one2one
GSE1	ENSG00000131149	16	85645015	85709810	ENSACAG00000005555	GL343454.1	295007	427442	ortholog_one2one
GINS2	ENSG00000131153	16	85709804	85723679	ENSACAG00000005538	GL343454.1	436489	441371	ortholog_one2one
EMC8	ENSG00000131148	16	85805364	85833214	ENSACAG00000005492	GL343454.1	467776	481329	ortholog_one2one
COX4I1	ENSG00000131143	16	85832239	85840650	ENSACAG00000005479	GL343454.1	486718	490830	ortholog_one2one
IRF8	ENSG00000140968	16	85932409	85956215	ENSACAG00000005409	GL343454.1	520327	536141	ortholog_one2one
FOXF1	ENSG00000103241	16	86544133	86548076	ENSACAG00000016455	AAWZ02041218	3797	4099	apparent_ortholog_one2one
MTHFSD	ENSG00000103248	16	86563782	86588841	ENSACAG00000015976	GL344607.1	10903	25384	ortholog_one2one
FOXC2	ENSG00000176692	16	86600857	86602539	ENSACAG00000008217	AAWZ02037033	11383	12843	ortholog_one2one
FOXL1	ENSG00000176678	16	86609974	86615303	ENSACAG00000000715	AAWZ02040100	2561	4951	ortholog_one2one
FBXO31	ENSG00000103264	16	87360593	87425748	ENSACAG00000014551	GL343957.1	43524	66581	ortholog_one2one
ZCCHC14	ENSG00000140948	16	87439852	87525651	ENSACAG00000014623	GL343957.1	88040	104843	ortholog_one2one
JPH3	ENSG00000154118	16	87635441	87731762	ENSACAG00000009848	GL344378.1	19095	30274	apparent_ortholog_one2one
KLHDC4	ENSG00000104731	16	87730091	87799598	ENSACAG00000009796	GL344378.1	1384	11439	ortholog_one2one
BANP	ENSG00000172530	16	87982850	88110924	ENSACAG00000013493	GL343689.1	18114	115251	ortholog_one2one
ZNF469	ENSG00000225614	16	88493879	88507165	ENSACAG00000022953	AAWZ02036545	7906	18207	ortholog_one2one
ZFPM1	ENSG00000179588	16	88519725	88601572	ENSACAG00000024733	GL344425.1	2800	51828	ortholog_one2one
ZC3H18	ENSG00000158545	16	88636789	88698374	ENSACAG00000006544	GL343670.1	5494	68849	ortholog_one2one
IL17C	ENSG00000124391	16	88704999	88706881	ENSACAG00000006597	GL343670.1	90644	93974	ortholog_one2one
CYBA	ENSG00000051523	16	88709691	88717560	ENSACAG00000006600	GL343670.1	98511	111451	ortholog_one2one
MVD	ENSG00000167508	16	88718343	88729569	ENSACAG00000006654	GL343670.1	114376	128760	ortholog_one2one
SNAI3	ENSG00000185669	16	88744090	88752901	ENSACAG00000006701	GL343670.1	138316	145351	ortholog_one2one
RNF166	ENSG00000158717	16	88762903	88772829	ENSACAG00000006707	GL343670.1	150179	158943	ortholog_one2one
CTU2	ENSG00000174177	16	88772871	88781794	ENSACAG00000006759	GL343670.1	159150	168526	ortholog_one2one
PIEZO1	ENSG00000103335	16	88781751	88851619	ENSACAG00000006792	GL343670.1	170456	235758	ortholog_one2one
CDT1	ENSG00000167513	16	88869621	88875666	ENSACAG00000013401	GL343948.1	85057	103325	ortholog_one2one
APRT	ENSG00000198931	16	88875747	88878352	ENSACAG00000013368	GL343948.1	78639	86912	ortholog_one2one
GALNS	ENSG00000141012	16	88880142	88923378	ENSACAG00000013289	GL343948.1	22246	75179	ortholog_one2one
TRAPPC2L	ENSG00000167515	16	88922628	88929094	ENSACAG00000029626	GL343948.1	14219	23082	ortholog_one2one
PABPN1L	ENSG00000205022	16	88928034	88933068	ENSACAG00000013250	GL343948.1	4724	14319	ortholog_one2one
CBFA2T3	ENSG00000129993	16	88941266	89043612	ENSACAG00000013152	GL343487.1	348	24512	ortholog_one2one
ACSF3	ENSG00000176715	16	89154783	89222254	ENSACAG00000013110	GL343487.1	137422	207985	ortholog_one2one
CDH15	ENSG00000129910	16	89238175	89261900	ENSACAG00000016950	GL343487.1	228248	241650	ortholog_one2one
ANKRD11	ENSG00000167522	16	89334038	89556969	ENSACAG00000017023	GL343487.1	265378	319310	ortholog_one2one
SPG7	ENSG00000197912	16	89557325	89624176	ENSACAG00000017044	GL343487.1	417208	440190	ortholog_one2one
RPL13	ENSG00000167526	16	89627065	89630950	ENSACAG00000017072	GL343487.1	443248	451073	ortholog_one2one
DPEP1	ENSG00000015413	16	89679716	89704839	ENSACAG00000017169	GL343487.1	574486	590703	ortholog_one2one
CHMP1A	ENSG00000131165	16	89710839	89724253	ENSACAG00000028813	GL343487.1	596200	608662	ortholog_one2one
CDK10	ENSG00000185324	16	89747145	89762772	ENSACAG00000017200	GL343487.1	618254	631732	ortholog_one2one
SPATA2L	ENSG00000158792	16	89762751	89768113	ENSACAG00000022713	GL343487.1	634682	636149	ortholog_one2one
VPS9D1	ENSG00000075399	16	89773542	89787394	ENSACAG00000008071	GL344093.1	17504	37321	ortholog_one2one
ZNF276	ENSG00000158805	16	89786808	89807311	ENSACAG00000008103	GL344093.1	45034	63286	ortholog_one2one
FANCA	ENSG00000187741	16	89803957	89883065	ENSACAG00000008124	GL344093.1	56978	80882	apparent_ortholog_one2one
SPIRE2	ENSG00000204991	16	89884587	89937727	ENSACAG00000015016	GL343866.1	28	14075	ortholog_one2one
TCF25	ENSG00000141002	16	89940000	89977792	ENSACAG00000014947	GL343866.1	16135	53259	ortholog_one2one
DEF8	ENSG00000140995	16	90014333	90034468	ENSACAG00000009546	GL343866.1	112286	119828	ortholog_one2one
CENPBD1	ENSG00000177946	16	90036206	90038942	ENSACAG00000029453	GL343532.1	502415	514951	ortholog_one2one
DBNDD1	ENSG00000003249	16	90071273	90086536	ENSACAG00000009696	GL343866.1	144965	147965	ortholog_one2one
GAS8	ENSG00000141013	16	90086037	90111383	ENSACAG00000009706	GL343866.1	169595	179319	ortholog_one2one
DOC2B	ENSG00000262359	17	5810	31427	ENSACAG00000008526	AAWZ02038570	4748	9523	ortholog_one2one
RPH3AL	ENSG00000181031	17	62293	236045	ENSACAG00000015466	GL343992.1	150	48652	ortholog_one2one
FAM101B	ENSG00000183688	17	289769	295730	ENSACAG00000025104	GL343543.1	541332	542589	ortholog_one2one
VPS53	ENSG00000141252	17	411908	624957	ENSACAG00000008030	GL343543.1	473467	526347	ortholog_one2one
FAM57A	ENSG00000167695	17	635652	646206	ENSACAG00000016007	GL344108.1	71013	74914	ortholog_one2one
GEMIN4	ENSG00000179409	17	647654	657239	ENSACAG00000016003	GL344108.1	61497	71478	ortholog_one2one
GLOD4	ENSG00000167699	17	660337	685581	ENSACAG00000015982	GL344108.1	48247	55248	ortholog_one2one
RNMTL1	ENSG00000171861	17	685513	695749	ENSACAG00000015977	GL344108.1	45549	51393	ortholog_one2one
NXN	ENSG00000167693	17	702553	883010	ENSACAG00000015948	GL344108.1	34952	47091	apparent_ortholog_one2one
CRK	ENSG00000167193	17	1323983	1366456	ENSACAG00000008373	AAWZ02040788	2801	5913	ortholog_one2one
MYO1C	ENSG00000197879	17	1367392	1396106	ENSACAG00000008934	AAWZ02038163	168	10400	apparent_ortholog_one2one
PITPNA	ENSG00000174238	17	1421012	1466110	ENSACAG00000001830	GL344342.1	38787	53493	ortholog_one2one
SLC43A2	ENSG00000167703	17	1477673	1532180	ENSACAG00000014801	GL343393.1	186433	203667	apparent_ortholog_one2one
SCARF1	ENSG00000074660	17	1537152	1549041	ENSACAG00000014797	GL343393.1	172775	181462	ortholog_one2one
RILP	ENSG00000167705	17	1549444	1553371	ENSACAG00000029158	GL343393.1	166683	169191	ortholog_one2one
PRPF8	ENSG00000174231	17	1553923	1588176	ENSACAG00000014784	GL343393.1	127759	155437	ortholog_one2one
TLCD2	ENSG00000185561	17	1611064	1613732	ENSACAG00000014776	GL343393.1	119958	125828	apparent_ortholog_one2one
WDR81	ENSG00000167716	17	1619817	1641893	ENSACAG00000014723	GL343393.1	75805	82980	ortholog_one2one
SERPINF1	ENSG00000132386	17	1665253	1680868	ENSACAG00000014667	GL343393.1	58395	64949	ortholog_one2one
SMYD4	ENSG00000186532	17	1682779	1733928	ENSACAG00000014639	GL343393.1	46106	58914	ortholog_one2one
RPA1	ENSG00000132383	17	1732996	1803376	ENSACAG00000014490	GL343393.1	14226	47260	ortholog_one2one
RTN4RL1	ENSG00000185924	17	1839299	1928178	ENSACAG00000026829	GL343393.1	4196	5458	ortholog_one2one
DPH1	ENSG00000108963	17	1933404	1946724	ENSACAG00000010817	GL344600.1	21	11327	ortholog_one2one
HIC1	ENSG00000177374	17	1957448	1962980	ENSACAG00000011777	GL344562.1	18130	20043	ortholog_one2one
SMG6	ENSG00000070366	17	1963133	2207065	ENSACAG00000011783	GL343470.1	595707	660163	ortholog_one2one
TSR1	ENSG00000167721	17	2225951	2240801	ENSACAG00000000859	AAWZ02037887	265	13754	ortholog_one2one
SGSM2	ENSG00000141258	17	2240792	2284352	ENSACAG00000011801	GL344126.1	6522	54715	ortholog_one2one
MNT	ENSG00000070444	17	2287354	2304412	ENSACAG00000024931	GL343731.1	233	13163	ortholog_one2one
METTL16	ENSG00000127804	17	2319343	2415185	ENSACAG00000016895	6	66088934	66115751	ortholog_one2one
PAFAH1B1	ENSG00000007168	17	2496504	2588909	ENSACAG00000006706	GL343731.1	29023	44889	ortholog_one2one
CLUH	ENSG00000132361	17	2592680	2615957	ENSACAG00000006538	GL343731.1	88729	171224	ortholog_one2one
RAP1GAP2	ENSG00000132359	17	2680350	2941033	ENSACAG00000012840	GL343638.1	139170	309862	ortholog_one2one
ASPA	ENSG00000108381	17	3375668	3406713	ENSACAG00000023020	AAWZ02038341	10952	11137	ortholog_one2one
TRPV3	ENSG00000167723	17	3413796	3461289	ENSACAG00000001651	AAWZ02038341	930	8205	ortholog_one2one
CAMKK1	ENSG00000004660	17	3763609	3798185	ENSACAG00000007183	AAWZ02040127	21	5861	ortholog_one2one
ZZEF1	ENSG00000074755	17	3907739	4046314	ENSACAG00000000711	GL344155.1	8718	60087	ortholog_one2one
ANKFY1	ENSG00000185722	17	4067201	4167274	ENSACAG00000014975	GL343393.1	281682	312941	ortholog_one2one
UBE2G1	ENSG00000132388	17	4172554	4269923	ENSACAG00000015063	GL343393.1	315957	321522	apparent_ortholog_one2one
SPNS3	ENSG00000182557	17	4336983	4391503	ENSACAG00000007099	GL344715.1	566	12212	ortholog_one2one
MYBBP1A	ENSG00000132382	17	4442192	4458926	ENSACAG00000000464	GL344337.1	2702	41609	ortholog_one2one
SMTNL2	ENSG00000188176	17	4487294	4511614	ENSACAG00000001828	GL344820.1	9856	13454	ortholog_one2one
ZMYND15	ENSG00000141497	17	4643319	4649411	ENSACAG00000008560	GL344832.1	1954	19497	ortholog_one2one
TM4SF5	ENSG00000142484	17	4675179	4686506	ENSACAG00000029285	AAWZ02039070	33	7897	ortholog_one2one
VMO1	ENSG00000182853	17	4688580	4689728	ENSACAG00000007746	6	35096256	35101548	apparent_ortholog_one2one
GLTPD2	ENSG00000182327	17	4692254	4693685	ENSACAG00000009973	AAWZ02041358	4858	5680	ortholog_one2one
PSMB6	ENSG00000142507	17	4699439	4701790	ENSACAG00000009975	5	60525537	60542660	ortholog_one2one
MINK1	ENSG00000141503	17	4736683	4801356	ENSACAG00000003068	GL344055.1	1901	57511	ortholog_one2one
CHRNE	ENSG00000108556	17	4801069	4806369	ENSACAG00000014790	GL344523.1	36	14889	ortholog_one2one
SLC25A11	ENSG00000108528	17	4840425	4843546	ENSACAG00000014857	GL344523.1	22338	32286	ortholog_one2one
RNF167	ENSG00000108523	17	4843303	4848517	ENSACAG00000008222	GL344987.1	9863	14914	ortholog_one2one
ENO3	ENSG00000108515	17	4851387	4860426	ENSACAG00000002263	AAWZ02041413	21	5517	ortholog_one2one
KIF1C	ENSG00000129250	17	4901243	4931696	ENSACAG00000001893	GL344025.1	33022	89798	ortholog_one2one
RABEP1	ENSG00000029725	17	5185558	5289129	ENSACAG00000015349	GL343613.1	343124	366638	ortholog_one2one
NUP88	ENSG00000108559	17	5264258	5323480	ENSACAG00000015448	GL343613.1	366642	382281	ortholog_one2one
RPAIN	ENSG00000129197	17	5322961	5336196	ENSACAG00000014309	GL344757.1	18233	20572	ortholog_one2one
C1QBP	ENSG00000108561	17	5336097	5352150	ENSACAG00000007147	GL344715.1	15096	22955	ortholog_one2one
DHX33	ENSG00000005100	17	5344232	5372380	ENSACAG00000015095	GL343393.1	333480	535130	ortholog_one2one
DERL2	ENSG00000072849	17	5374571	5390131	ENSACAG00000015130	GL343393.1	344984	350515	ortholog_one2one
AIPL1	ENSG00000129221	17	6297013	6338519	ENSACAG00000008153	GL343451.1	202876	209273	apparent_ortholog_one2one
SLC13A5	ENSG00000141485	17	6588032	6616886	ENSACAG00000011616	AAWZ02039898	2012	7443	ortholog_one2one
TEKT1	ENSG00000167858	17	6692452	6735080	ENSACAG00000001856	GL344820.1	17148	20164	ortholog_one2one
SLC16A13	ENSG00000174327	17	6939394	6943440	ENSACAG00000007516	GL344632.1	4205	12858	ortholog_one2one
DLG4	ENSG00000132535	17	7093209	7123021	ENSACAG00000004044	GL344541.1	21969	29886	apparent_ortholog_one2one
DVL2	ENSG00000004975	17	7128660	7137864	ENSACAG00000011181	AAWZ02037606	263	12658	ortholog_one2one
CTDNEP1	ENSG00000175826	17	7146910	7155810	ENSACAG00000001078	GL344421.1	21	16420	ortholog_one2one
ELP5	ENSG00000170291	17	7154735	7163259	ENSACAG00000026596	GL344240.1	7954	23947	ortholog_one2one
SLC2A4	ENSG00000181856	17	7184986	7191576	ENSACAG00000014408	GL344596.1	631	26377	ortholog_one2one
GPS2	ENSG00000132522	17	7214643	7218883	ENSACAG00000000927	GL344643.1	14658	24498	ortholog_one2one
PLSCR3	ENSG00000187838	17	7293046	7307416	ENSACAG00000000400	GL344753.1	2548	6587	ortholog_one2one
NLGN2	ENSG00000169992	17	7308193	7323179	ENSACAG00000005579	AAWZ02034793	18486	64892	ortholog_one2one
TMEM102	ENSG00000181284	17	7338762	7340998	ENSACAG00000010818	AAWZ02037473	2202	6151	ortholog_one2one
FGF11	ENSG00000161958	17	7341592	7349285	ENSACAG00000003649	AAWZ02036351	6427	25727	ortholog_one2one
ZBTB4	ENSG00000174282	17	7362685	7387582	ENSACAG00000026280	GL343660.1	198450	202067	ortholog_one2one
POLR2A	ENSG00000181222	17	7387685	7417933	ENSACAG00000014561	GL343660.1	94005	122821	ortholog_one2one
SENP3	ENSG00000161956	17	7465192	7475287	ENSACAG00000005624	GL344106.1	31471	47249	ortholog_one2one
EIF4A1	ENSG00000161960	17	7476024	7482323	ENSACAG00000005524	GL344106.1	6160	18542	apparent_ortholog_one2one
MPDU1	ENSG00000129255	17	7486847	7496107	ENSACAG00000015289	AAWZ02040125	3088	7195	ortholog_one2one
SHBG	ENSG00000129214	17	7517382	7536700	ENSACAG00000014527	GL343660.1	216876	222581	ortholog_one2one
SAT2	ENSG00000141504	17	7529552	7531194	ENSACAG00000014825	GL343660.1	1254	7380	ortholog_one2one
ATP1B2	ENSG00000129244	17	7549945	7561086	ENSACAG00000014375	GL343660.1	289295	302856	ortholog_one2one
TP53	ENSG00000141510	17	7565097	7590856	ENSACAG00000022533	AAWZ02038700	4261	10723	ortholog_one2one
EFNB3	ENSG00000108947	17	7608520	7614696	ENSACAG00000009949	GL343655.1	233302	325411	ortholog_one2one
KDM6B	ENSG00000132510	17	7743222	7758114	ENSACAG00000004490	GL343784.1	158025	188486	ortholog_one2one
